name,dimension,optimal,time,bytes,gctime,gcstats
burma14,14,true,0.008205667,1602632,0.0,"Base.GC_Diff(1602632, 673, 20, 47618, 20, 352, 0, 0, 0)"
ulysses16,16,true,0.015174084,3193336,0.0,"Base.GC_Diff(3193336, 1346, 40, 108265, 41, 1024, 0, 0, 0)"
gr17,17,true,0.016115375,3146712,0.0,"Base.GC_Diff(3146712, 1346, 40, 104866, 37, 1024, 0, 0, 0)"
gr21,21,true,0.010760333,2833272,0.0,"Base.GC_Diff(2833272, 338, 10, 74247, 52, 16, 0, 0, 0)"
ulysses22,22,true,0.0248595,5639120,0.0,"Base.GC_Diff(5639120, 1346, 40, 186670, 75, 1024, 0, 0, 0)"
gr24,24,true,0.018693,4437848,0.0,"Base.GC_Diff(4437848, 674, 20, 131879, 68, 352, 0, 0, 0)"
fri26,26,true,0.027355167,6103632,0.0,"Base.GC_Diff(6103632, 1010, 30, 196404, 67, 688, 0, 0, 0)"
bayg29,29,true,0.039512958,9851320,0.0,"Base.GC_Diff(9851320, 1010, 30, 341130, 86, 688, 0, 0, 0)"
bays29,29,true,0.038772416,8833568,0.0,"Base.GC_Diff(8833568, 1346, 40, 295828, 101, 1024, 0, 0, 0)"
dantzig42,42,true,0.11611925,25359752,0.0,"Base.GC_Diff(25359752, 2372, 70, 792195, 274, 1072, 0, 0, 0)"
swiss42,42,true,0.08698325,17756856,0.021434125,"Base.GC_Diff(17756856, 688, 20, 559375, 208, 4874, 21434125, 1, 0)"
att48,48,true,0.20671925,39844136,0.0,"Base.GC_Diff(39844136, 2728, 80, 1439693, 309, 2048, 0, 0, 0)"
gr48,48,true,0.44997275,47967232,0.011321083,"Base.GC_Diff(47967232, 2396, 70, 1773438, 367, 3063, 11321083, 1, 0)"
hk48,48,true,0.121168959,31153920,0.0,"Base.GC_Diff(31153920, 1714, 50, 1078012, 275, 1680, 0, 0, 0)"
eil51,51,true,0.100581833,26976272,0.0,"Base.GC_Diff(26976272, 702, 20, 881192, 238, 352, 0, 0, 0)"
berlin52,52,true,0.073112041,22235096,0.0,"Base.GC_Diff(22235096, 699, 20, 679449, 210, 352, 0, 0, 0)"
brazil58,58,true,0.2189025,46958456,0.0070585,"Base.GC_Diff(46958456, 1716, 50, 1679028, 287, 2424, 7058500, 1, 0)"
st70,70,true,0.374024459,81031128,0.004734875,"Base.GC_Diff(81031128, 5105, 150, 2784410, 562, 5128, 4734875, 1, 0)"
eil76,76,true,0.274531,73410344,0.0,"Base.GC_Diff(73410344, 1071, 30, 2474616, 441, 1008, 0, 0, 0)"
pr76,76,true,18.156399708,308866904,0.013687124,"Base.GC_Diff(308866904, 19699, 580, 11847313, 1412, 20047, 13687124, 3, 0)"
gr96,96,true,3.818534291,395797344,0.019276584,"Base.GC_Diff(395797344, 19697, 580, 15071997, 1692, 19678, 19276584, 4, 0)"
rat99,99,true,1.408050666,224829920,0.015556749,"Base.GC_Diff(224829920, 6878, 200, 8013309, 1245, 6815, 15556749, 2, 0)"
kroA100,100,true,3.029822792,291831872,0.015085668,"Base.GC_Diff(291831872, 17964, 530, 10855223, 1328, 17990, 15085668, 3, 0)"
kroB100,100,true,4.345090333,304223680,0.015107083,"Base.GC_Diff(304223680, 10237, 300, 11510617, 1234, 9896, 15107083, 3, 0)"
kroC100,100,true,2.123970917,291463608,0.01613325,"Base.GC_Diff(291463608, 15260, 450, 10989883, 1210, 14922, 16133250, 3, 0)"
kroD100,100,true,2.648846375,325104408,0.016363875,"Base.GC_Diff(325104408, 16636, 490, 12108002, 1475, 16276, 16363875, 3, 0)"
kroE100,100,true,2.84235725,269240256,0.011216708,"Base.GC_Diff(269240256, 12943, 380, 9724607, 1286, 12577, 11216708, 2, 0)"
rd100,100,true,1.52814925,229153736,0.011249667,"Base.GC_Diff(229153736, 15611, 460, 7934193, 1380, 15598, 11249667, 2, 0)"
eil101,101,true,0.526023958,136125880,0.005835041,"Base.GC_Diff(136125880, 1432, 40, 4633993, 702, 1420, 5835041, 1, 0)"
lin105,105,true,2.377696542,322944344,0.016169749,"Base.GC_Diff(322944344, 13589, 400, 12173382, 1374, 13914, 16169749, 3, 0)"
pr107,107,true,1.170731792,235764936,0.011404666,"Base.GC_Diff(235764936, 14879, 440, 8637363, 1060, 14563, 11404666, 2, 0)"
gr120,120,true,6.120839458,427291552,0.022509334,"Base.GC_Diff(427291552, 14729, 430, 15572005, 1941, 15009, 22509334, 4, 0)"
pr124,124,true,13.065233,582905088,0.030183833,"Base.GC_Diff(582905088, 25773, 760, 22600544, 2579, 25755, 30183833, 5, 0)"
bier127,127,true,1.836640083,306002952,0.020460583,"Base.GC_Diff(306002952, 4856, 140, 11206135, 1639, 4524, 20460583, 3, 0)"
ch130,130,true,3.331660667,380636576,0.020821541,"Base.GC_Diff(380636576, 10964, 320, 13833999, 2039, 10900, 20821541, 3, 0)"
pr136,136,true,3.748501167,357532384,0.020387209,"Base.GC_Diff(357532384, 9201, 270, 13008577, 1937, 8878, 20387209, 3, 0)"
gr137,137,true,7.987051125,809224496,0.047510291,"Base.GC_Diff(809224496, 24546, 720, 30404085, 3365, 24132, 47510291, 6, 0)"
pr144,144,true,10.045588792,750804976,0.044205708,"Base.GC_Diff(750804976, 23496, 690, 28957415, 2544, 23143, 44205708, 6, 0)"
ch150,150,true,13.829703208,942023408,0.055837585,"Base.GC_Diff(942023408, 27307, 800, 35199605, 3841, 26897, 55837585, 7, 0)"
kroA150,150,true,16.389363625,864129992,0.055254251,"Base.GC_Diff(864129992, 20427, 600, 33468549, 2714, 20389, 55254251, 6, 0)"
kroB150,150,true,26.644298625,985989896,0.059508458,"Base.GC_Diff(985989896, 31062, 910, 37253707, 3876, 30966, 59508458, 6, 0)"
pr152,152,true,5.940233833,681255216,0.047074957,"Base.GC_Diff(681255216, 21666, 640, 26010254, 2386, 21365, 47074957, 5, 0)"
u159,159,true,4.567947166,589051304,0.029237791,"Base.GC_Diff(589051304, 15428, 450, 20904205, 2883, 15357, 29237791, 3, 0)"
si175,175,true,27.747767875,1391926432,0.108551541,"Base.GC_Diff(1391926432, 28141, 820, 53195574, 5206, 28050, 108551541, 8, 0)"
brg180,180,true,8.462360042,806573648,0.068847707,"Base.GC_Diff(806573648, 14004, 410, 29921188, 3947, 13678, 68847707, 5, 0)"
rat195,195,true,50.626137375,1427112384,0.360276835,"Base.GC_Diff(1427112384, 20632, 600, 54526819, 5786, 24613, 360276835, 10, 1)"
d198,198,true,31.117109042,1801829288,0.090249123,"Base.GC_Diff(1801829288, 32229, 940, 69060603, 6351, 31543, 90249123, 17, 0)"
kroA200,200,true,23.821317959,1339454560,0.065152957,"Base.GC_Diff(1339454560, 25625, 750, 50270421, 5037, 25507, 65152957, 11, 0)"
kroB200,200,true,10.675165125,971651544,0.052055792,"Base.GC_Diff(971651544, 19738, 580, 35402624, 4699, 19725, 52055792, 8, 0)"
